,Wards in Nairobi,Number of scrap dealers,Presence of open sewage,Sources of water(Borehole),no. of Industries
2745,Kayole South,"""44","200""",50,0
2746,Roysambu,"""44","918""",61,0
2747,Komarock,"""25","000""",106,1
2748,Kiamaiko,"""16","000""",68,0
2749,Embakasi East,"""52","500""",46,1
2750,Ruai,"""12","000""",105,1
2751,Mabatini,"""123","000""",57,0
2752,Eastleigh South,"""45","000""",99,1
2753,Kayole Central,"""23","000""",73,1
2754,Karura,"""19","000""",48,0
2755,Dandora Area I,"""44","600""",54,0
2756,Waithaka,"""42","972""",61,0
2757,Embakasi East,"""52","500""",103,0
2758,Karen,"""52","500""",73,1
2759,Embakasi Central,"""21","000""",44,0
2760,Nairobi Central,"""62","583""",89,1
2761,Makadara,"""46","400""",56,1
2762,Kware,"""27","000""",87,1
2763,Gatina,"""45","400""",63,1
2764,Mabatini,"""51","890""",100,1
2765,Kariobangi South,"""62","583""",106,1
2766,Dandora Area II,"""46","200""",53,0
2767,Ngara,"""45","400""",36,0
2768,Umoja I,"""23","000""",107,1
2769,Mathare North,"""45","200""",56,1
2770,Utalii,"""43","400""",51,1
2771,Embakasi South,"""20","000""",77,1
2772,Kariobangi North,"""14","000""",121,1
2773,Parklands/Highridge,"""42","300""",58,0
2774,Pipeline,"""38","918""",74,1
2775,Riruta,"""9","000""",93,1
2776,Mlango Kubwa,"""65","574""",96,0
2777,Pumwani,"""48","997""",85,1
2778,Ngando,"""55","500""",50,0
2779,Kayole South,"""20","000""",99,1
2780,Nairobi South,"""18","000""",94,1
2781,Roysambu,"""42","400""",41,0
2782,Mathare South,"""48","000""",34,0
2783,Maringo/Hamza,"""38","918""",84,0
2784,Utalii,"""41","600""",110,0
2785,Umoja II,"""82","972""",39,0
2786,Pumwani,"""42","500""",109,1
2787,Kasarani,"""22","000""",61,1
2788,California,"""26","000""",74,1
2789,Karen,"""45","000""",111,1
2790,Mlango Kubwa,"""45","000""",106,1
2791,Karen,"""62","583""",103,1
2792,Utalii,"""44","600""",99,0
2793,Mutu-ini,"""42","400""",95,1
2794,Ngando,"""43","800""",117,1
2795,Starehe,"""41","800""",63,1
2796,Eastleigh South,"""43","000""",54,0
2797,Pangani,"""36","037""",70,0
2798,Harambee,"""41","500""",118,0
2799,Kabiro,"""10","000""",106,0
2800,Gatina,"""44","918""",53,0
2801,Kawangware,"""42","800""",92,0
2802,Maringo/Hamza,"""22","000""",76,1
2803,Mwiki,"""26","000""",47,0
2804,Airbase,"""109","890""",80,0
2805,Njiru,"""43","800""",35,0
2806,Mathare North,"""15","000""",88,1
2807,Eastleigh North,"""26","000""",86,0
2808,Mlango Kubwa,"""45","000""",70,0
2809,Viwandani,"""109","890""",71,0
2810,Pangani,"""26","000""",78,0
2811,Thika,"""44","200""",89,1
2812,Utalii,"""48","100""",95,0
2813,Kwa Ruben,"""17","000""",71,1
2814,Kariobangi North,"""41","500""",60,1
2815,Kayole South,"""43","800""",71,0
2816,Ziwani/Kariokor,"""46","000""",94,1
2817,Thika,"""123","000""",54,1
2818,Gatina,"""40","500""",67,0
2819,Kwa Njenga,"""42","400""",91,1
2820,Huruma,"""48","100""",42,0
2821,Sarangombe,"""16","000""",91,1
2822,Dandora Area IV,"""43","000""",66,0
2823,Embakasi East,"""42","300""",54,1
2824,Pipeline,"""20","000""",52,0
2825,Karen,"""18","000""",99,0
2826,Embakasi South,"""77","378""",41,0
2827,Njiru,"""51","890""",67,0
2828,Utawala,"""45","800""",66,1
2829,Kawangware,"""23","000""",101,1
2830,Karen,"""36","037""",58,1
2831,Viwandani,"""13","000""",75,0
2832,Umoja I,"""109","890""",74,1
2833,Embakasi East,"""43","200""",79,0
2834,Riruta,"""44","400""",64,0
2835,Ngando,"""46","000""",95,1
2836,Kasarani,"""43","400""",53,0
2837,Sarangombe,"""45","200""",90,0
2838,Kayole South,"""41","600""",60,0
2839,Sarangombe,"""51","890""",76,0
2840,Starehe,"""45","000""",81,1
2841,Athi River,"""36","037""",56,1
2842,Kibera,"""41","700""",101,1
2843,California,"""42","500""",92,1
2844,Lindi Makina,"""17","000""",51,0
2845,Kayole South,"""109","890""",108,1
2846,Hospital,"""48","000""",120,1
2847,Waithaka,"""123","000""",49,0
2848,Githurai,"""44","918""",53,0
2849,Lower Savannah,"""50","800""",61,0
2850,Mwiki,"""48","000""",66,1
2851,Kwa Ruben,"""11","000""",79,1
2852,Kawangware,"""51","890""",105,1
2853,Korogocho,"""20","000""",41,0
2854,Embakasi,"""82","972""",110,1
2855,Embakasi North,"""10","000""",105,1
2856,Githurai,"""22","000""",74,1
2857,Kariobangi South,"""20","000""",53,0
2858,Riruta,"""44","918""",26,0
2859,Woodley /Kenyatta Golf Course,"""109","890""",62,0
2860,Huruma,"""19","000""",104,1
2861,Kibera,"""46","600""",100,1
2862,Kahawa West,"""41","700""",78,1
2863,Sarangombe,"""43","400""",80,0
2864,Kamukunji,"""52","600""",76,0
2865,Ngando,"""22","000""",92,1
2866,Githurai,"""41","500""",107,1
2867,Kawangware,"""44","000""",92,0
2868,Komarock,"""77","378""",67,1
2869,Baba Dogo,"""24","000""",84,0
2870,Ruiru,"""21","000""",118,0
2871,Ngara,"""38","918""",106,0
2872,Mabatini,"""55","500""",100,0
2873,Kibera,"""46","200""",87,0
2874,Kibera,"""22","000""",71,1
2875,Hospital,"""22","000""",110,0
2876,Lower Savannah,"""21","000""",52,0
2877,Roysambu,"""43","800""",58,0
2878,Syokimau,"""42","500""",80,0
2879,Kayole Central,"""41","900""",99,0
2880,Karen,"""22","000""",113,0
2881,Kawangware,"""55","500""",48,0
2882,Dandora Area III,"""10","000""",71,1
2883,Gatina,"""45","400""",115,1
2884,Baba Dogo,"""17","000""",54,0
2885,Kibera,"""23","000""",84,1
2886,Imara Daima,"""18","000""",99,0
2887,Kware,"""12","000""",75,0
2888,Maringo/Hamza,"""42","200""",106,0
2889,Githurai,"""41","600""",76,1
2890,Airbase,"""41","900""",51,0
2891,Ruiru,"""25","000""",89,1
2892,Roysambu,"""36","037""",88,0
2893,Ngara,"""42","000""",58,0
2894,Kangemi,"""42","400""",58,1
2895,Kware,"""42","400""",93,1
2896,Kibera,"""22","000""",43,1
2897,Mathare South,"""48","000""",40,0
2898,Kariobangi North,"""11","000""",97,1
2899,Njiru,"""62","583""",47,0
2900,Embakasi,"""10","000""",58,0
2901,Karura,"""16","000""",62,0
2902,Parklands/Highridge,"""21","000""",58,1
2903,Kariobangi South,"""41","700""",95,0
2904,Kayole South,"""44","000""",113,0
2905,Huruma,"""13","000""",68,1
2906,Pumwani,"""48","100""",62,0
2907,Pumwani,"""18","000""",100,0
2908,Kware,"""48","100""",65,0
2909,Dandora Area III,"""42","600""",75,1
2910,Lower Savannah,"""19","000""",33,0
2911,Woodley /Kenyatta Golf Course,"""43","400""",63,1
2912,Kahawa West,"""42","800""",82,0
2913,Parklands/Highridge,"""48","100""",105,1
2914,Mowlem,"""48","000""",124,1
2915,Harambee,"""44","000""",74,0
2916,Mathare South,"""13","000""",57,0
2917,Umoja II,"""44","200""",95,1
2918,Kasarani,"""38","918""",82,1
2919,Syokimau,"""42","800""",57,1
2920,Kiamaiko,"""42","300""",64,0
2921,Landimawe,"""44","400""",46,0
2922,Kahawa West,"""45","800""",91,1
2923,Ngei,"""46","000""",98,0
2924,Utawala,"""20","000""",101,1
2925,Airbase,"""55","500""",104,1
2926,Embakasi,"""109","890""",69,0
2927,Mowlem,"""82","972""",77,0
2928,Kibera,"""123","000""",89,0
2929,Kibera,"""41","600""",66,0
2930,Karen,"""42","800""",94,1
2931,Kariobangi North,"""63","000""",66,0
2932,Kangemi,"""46","400""",99,1
2933,Nairobi South,"""42","400""",90,1
2934,Kabiro,"""48","100""",92,1
2935,Dandora Area II,"""9","000""",91,0
2936,Ngei,"""9","000""",90,1
2937,Embakasi North,"""18","000""",62,0
2938,Mwiki,"""45","000""",97,1
2939,Nairobi Central,"""48","100""",113,1
2940,Nyayo Highrise,"""41","500""",82,1
2941,Pumwani,"""17","000""",118,1
2942,Mutu-ini,"""41","900""",98,1
2943,Makongeni,"""41","900""",87,0
2944,California,"""42","400""",54,0
2945,Nairobi Central,"""15","000""",93,1
2946,Hospital,"""38","918""",68,1
2947,Nairobi Central,"""19","000""",66,1
2948,Karen,"""42","300""",43,1
2949,Waithaka,"""19","000""",67,0
2950,Athi River,"""41","500""",55,0
2951,Eastleigh North,"""15","000""",32,1
2952,Baba Dogo,"""13","000""",87,1
2953,Pipeline,"""44","000""",70,1
2954,Baba Dogo,"""20","000""",54,0
2955,Riruta,"""42","300""",70,0
2956,Mathare North,"""19","000""",68,1
2957,Thika,"""19","000""",45,0
2958,Kayole South,"""15","000""",55,0
2959,Nairobi West,"""40","500""",115,1
2960,Mutu-ini,"""48","100""",65,1
2961,Upper Savannah,"""42","972""",68,0
2962,Kiamaiko,"""48","997""",100,0
2963,Mountain View,"""43","200""",50,0
2964,Gatina,"""44","918""",88,0
2965,Pipeline,"""62","600""",41,1
2966,Kitengela,"""90","017""",96,1
2967,Dandora Area I,"""51","890""",75,1
2968,Laini saba,"""42","500""",107,1
2969,Kwa Njenga,"""25","000""",70,1
2970,Eastleigh South,"""25","000""",48,1
2971,Pangani,"""44","600""",56,0
2972,Pangani,"""62","600""",86,0
2973,Ruai,"""15","000""",111,1
2974,Dandora Area IV,"""13","000""",95,1
2975,Mowlem,"""27","000""",47,0
2976,Mutu-ini,"""41","500""",40,0
2977,Sarangombe,"""48","100""",59,0
2978,Mathare South,"""42","972""",73,0
2979,Dandora Area I,"""25","000""",85,1
2980,Waithaka,"""42","500""",65,1
2981,Matopeni/Spring Valley,"""62","583""",64,0
2982,Korogocho,"""17","000""",80,0
2983,Komarock,"""40","500""",73,0
2984,Mathare South,"""42","600""",103,1
2985,Ngando,"""48","997""",68,1
2986,Lower Savannah,"""48","997""",56,0
2987,Sarangombe,"""19","000""",85,1
2988,Sarangombe,"""44","800""",83,0
2989,Kangemi,"""26","000""",51,1
2990,Laini saba,"""18","000""",65,1
2991,Dandora Area II,"""41","700""",70,1
2992,Zimmerman,"""42","800""",76,0
2993,Riruta,"""11","000""",114,1
2994,Mabatini,"""16","000""",88,1
2995,Karura,"""65","574""",75,0
2996,Githurai,"""48","100""",107,1
2997,Mathare North,"""48","100""",107,0
2998,Ruiru,"""42","200""",108,1
2999,Githurai,"""26","000""",106,0
3000,Embakasi Central,"""62","583""",69,1
3001,Starehe,"""17","000""",99,1
3002,Gatina,"""23","000""",61,1
3003,Gatina,"""42","800""",41,0
3004,Mabatini,"""62","600""",93,1
3005,Mabatini,"""18","000""",43,0
3006,Hospital,"""46","600""",76,1
3007,Eastleigh North,"""40","500""",74,0
3008,Kabiro,"""17","000""",57,0
3009,Kayole North,"""24","000""",60,1
3010,Woodley /Kenyatta Golf Course,"""42","600""",56,0
3011,Makadara,"""44","000""",79,1
3012,Dandora Area IV,"""13","000""",58,1
3013,Riruta,"""41","500""",102,1
3014,Imara Daima,"""18","000""",34,0
3015,Kahawa West,"""41","900""",91,0
3016,Lindi Makina,"""17","000""",94,0
3017,Mountain View,"""46","200""",78,0
3018,Kwa Ruben,"""45","800""",68,1
3019,Syokimau,"""12","000""",48,0
3020,Gatina,"""55","500""",65,1
3021,Thika,"""18","000""",111,0
3022,Embakasi Central,"""42","800""",83,1
3023,Korogocho,"""18","000""",95,1
3024,Laini saba,"""77","378""",70,1
3025,Parklands/Highridge,"""42","972""",95,1
3026,Clay City,"""46","200""",80,1
3027,Mugumu-Ini,"""62","583""",48,0
3028,Umoja II,"""16","000""",51,0
3029,Baba Dogo,"""12","000""",73,0
3030,Kwa Ruben,"""123","000""",92,0
3031,Mutu-ini,"""19","000""",111,1
3032,Lindi Makina,"""18","000""",38,0
3033,Embakasi South,"""45","400""",131,1
3034,Nairobi South,"""38","918""",51,1
3035,Harambee,"""82","972""",90,1
3036,Clay City,"""52","500""",63,0
3037,Umoja I,"""48","997""",66,1
3038,Mountain View,"""44","200""",79,0
3039,South C,"""11","000""",99,0
3040,Embakasi East,"""41","600""",56,0
3041,Embakasi,"""52","500""",100,1
3042,Pangani,"""48","000""",62,0
3043,Syokimau,"""44","200""",53,1
3044,Kariobangi South,"""63","000""",75,1
3045,Maringo/Hamza,"""52","500""",94,0
3046,Kawangware,"""24","000""",63,0
3047,Makongeni,"""90","017""",137,0
3048,Nairobi West,"""43","400""",93,1
3049,Mlango Kubwa,"""231","700""",118,0
3050,Kiamaiko,"""48","997""",65,1
3051,Huruma,"""23","000""",42,0
3052,Huruma,"""43","000""",75,1
3053,Dandora Area IV,"""17","000""",91,0
3054,Makongeni,"""42","600""",96,0
3055,Zimmerman,"""20","000""",60,1
3056,Pipeline,"""41","500""",92,1
3057,Laini saba,"""46","600""",85,0
3058,Embakasi,"""18","000""",59,0
3059,Embakasi Central,"""46","000""",90,0
3060,Ruai,"""45","200""",53,0
3061,Kahawa West,"""46","800""",88,1
3062,Lower Savannah,"""43","200""",68,1
3063,Harambee,"""48","000""",101,1
3064,Clay City,"""46","000""",54,0
3065,Embakasi Central,"""48","100""",49,0
3066,Zimmerman,"""45","000""",78,1
3067,Pangani,"""62","600""",93,1
3068,Baba Dogo,"""22","000""",81,1
3069,Airbase,"""15","000""",100,0
3070,Kilimani,"""52","500""",96,0
3071,Kware,"""231","700""",57,1
3072,Ngara,"""45","600""",68,1
3073,Lucky Summer,"""42","000""",102,1
3074,Lindi Makina,"""27","000""",99,1
3075,Kilimani,"""52","600""",128,1
3076,Kariobangi North,"""45","000""",101,1
3077,Lindi Makina,"""44","800""",104,1
3078,Dandora Area I,"""43","200""",103,1
3079,Nyayo Highrise,"""39","377""",46,1
3080,Landimawe,"""14","000""",46,0
3081,Imara Daima,"""24","000""",44,0
3082,Kayole Central,"""22","000""",55,0
3083,Umoja II,"""82","972""",94,1
3084,Clay City,"""42","500""",78,1
3085,Umoja I,"""10","000""",56,0
3086,Clay City,"""36","037""",43,0
3087,Airbase,"""46","800""",89,0
3088,Kiamaiko,"""12","000""",35,0
3089,Karen,"""44","000""",60,1
3090,Kayole North,"""38","918""",78,1
3091,Baba Dogo,"""23","000""",84,1
3092,Kwa Njenga,"""42","972""",92,0
3093,Umoja II,"""41","900""",105,1
3094,Pangani,"""42","400""",57,1
3095,Riruta,"""48","000""",114,1
3096,Umoja II,"""41","800""",89,0
3097,Harambee,"""26","000""",95,0
3098,Kware,"""12","000""",203,1
3099,Dandora Area IV,"""48","100""",88,1
3100,Maringo/Hamza,"""43","800""",69,1
3101,Nairobi Central,"""9","000""",80,1
3102,Njiru,"""41","500""",101,1
3103,Kahawa,"""55","500""",95,0
3104,Kayole Central,"""90","017""",56,1
3105,Kilimani,"""48","100""",68,1
3106,Sarangombe,"""48","000""",53,0
3107,Matopeni/Spring Valley,"""11","000""",87,1
3108,Pangani,"""48","997""",89,0
3109,Komarock,"""18","000""",54,1
3110,South C,"""23","000""",108,1
3111,Westlands,"""44","000""",87,0
3112,Woodley /Kenyatta Golf Course,"""15","000""",37,0
3113,Maringo/Hamza,"""42","400""",47,1
3114,Dandora Area I,"""46","200""",105,1
3115,Kayole North,"""26","000""",51,1
3116,Clay City,"""26","000""",45,0
3117,Kibera,"""41","500""",122,1
3118,Nairobi Central,"""26","000""",52,0
3119,Lucky Summer,"""15","000""",57,0
3120,Utalii,"""17","000""",56,0
3121,Kileleshwa,"""41","600""",65,1
3122,Ziwani/Kariokor,"""24","000""",60,0
3123,Westlands,"""36","037""",86,1
3124,Kayole North,"""26","000""",105,0
3125,Thika,"""41","700""",100,0
3126,Kware,"""19","000""",109,0
3127,Mutu-ini,"""45","400""",79,1
3128,Karen,"""16","000""",53,0
3129,Ziwani/Kariokor,"""43","000""",62,0
3130,Kitisuru,"""45","200""",56,1
3131,Kayole North,"""45","800""",33,0
3132,Njiru,"""40","500""",98,0
3133,Komarock,"""23","000""",93,0
3134,Eastleigh North,"""15","000""",55,1
3135,Eastleigh South,"""42","400""",73,1
3136,Mlango Kubwa,"""27","000""",93,0
3137,Kabiro,"""27","000""",67,1
3138,Kayole South,"""46","600""",72,1
3139,Utawala,"""42","200""",78,0
3140,Lindi Makina,"""42","972""",64,0
3141,Lucky Summer,"""12","000""",107,1
3142,Westlands,"""44","000""",54,0
3143,Roysambu,"""42","400""",71,0
3144,Mabatini,"""65","574""",98,1
3145,Pipeline,"""41","700""",118,1
3146,Embakasi,"""13","000""",42,1
3147,Clay City,"""23","000""",115,0
3148,Nairobi South,"""40","500""",66,0
3149,Utalii,"""48","000""",79,0
3150,Baba Dogo,"""40","500""",52,0
3151,Pangani,"""42","400""",61,1
3152,Githurai,"""20","000""",95,1
3153,Harambee,"""41","800""",40,0
3154,Pangani,"""48","100""",113,1
3155,Dandora Area I,"""46","000""",72,0
3156,Clay City,"""41","800""",44,0
3157,Ngara,"""17","000""",85,1
3158,Hospital,"""15","000""",60,1
3159,Makadara,"""22","000""",110,1
3160,Pangani,"""41","600""",45,0
3161,Kayole North,"""40","500""",88,1
3162,Kawangware,"""11","000""",49,1
3163,Makadara,"""44","400""",49,1
3164,Dandora Area III,"""231","700""",70,1
3165,Mathare North,"""46","600""",107,1
3166,Kilimani,"""12","000""",55,0
3167,Umoja I,"""13","000""",66,1
3168,Dandora Area II,"""42","600""",50,0
3169,South C,"""45","000""",77,0
3170,Harambee,"""45","600""",99,0
3171,Mugumu-Ini,"""14","000""",105,0
3172,Utalii,"""18","000""",83,0
3173,Kibera,"""44","800""",113,0
3174,Embakasi East,"""23","000""",47,0
3175,Mlango Kubwa,"""17","000""",52,0
3176,Sarangombe,"""46","600""",71,1
3177,Umoja II,"""82","972""",68,1
3178,Kayole South,"""51","890""",73,1
3179,Korogocho,"""14","000""",58,1
3180,Zimmerman,"""43","200""",85,1
3181,Sarangombe,"""43","000""",90,1
3182,Embakasi South,"""45","400""",48,1
3183,Syokimau,"""41","500""",89,0
3184,Ngei,"""82","972""",74,1
3185,Kware,"""44","918""",57,1
3186,Kilimani,"""45","600""",109,1
3187,Umoja II,"""46","800""",82,1
3188,Dandora Area IV,"""41","900""",46,1
3189,Kawangware,"""23","000""",65,0
3190,Umoja I,"""231","700""",66,0
3191,Mowlem,"""42","500""",83,0
3192,Kitisuru,"""41","900""",99,1
3193,Mihango,"""19","000""",29,0
3194,Mabatini,"""36","037""",62,1
3195,Zimmerman,"""9","000""",101,0
3196,Makadara,"""42","400""",94,0
3197,Kayole South,"""16","000""",61,1
3198,Kariobangi North,"""48","997""",66,0
3199,Utawala,"""22","000""",88,0
3200,Gatina,"""44","200""",53,0
3201,Mlango Kubwa,"""40","500""",53,0
3202,Westlands,"""12","000""",45,1
3203,Nairobi South,"""26","000""",50,0
3204,Airbase,"""46","600""",54,1
3205,Mathare South,"""14","000""",66,0
3206,Harambee,"""42","500""",38,1
3207,Embakasi East,"""18","000""",77,0
3208,Kahawa West,"""63","000""",69,1
3209,Upper Savannah,"""22","000""",56,1
3210,Komarock,"""39","377""",88,0
3211,Riruta,"""52","500""",63,1
3212,Eastleigh North,"""36","037""",85,1
3213,Kabiro,"""62","583""",57,0
3214,Lindi Makina,"""42","972""",63,0
3215,Thika,"""62","600""",62,0
3216,Dandora Area III,"""46","200""",109,1
3217,Korogocho,"""44","000""",75,1
3218,Komarock,"""48","000""",87,0
3219,Dandora Area I,"""18","000""",110,1
3220,Kabiro,"""51","890""",75,0
3221,Ngei,"""51","890""",75,0
3222,Dandora Area I,"""45","000""",114,1
3223,Eastleigh North,"""62","583""",51,1
3224,Kilimani,"""43","400""",75,1
3225,Nyayo Highrise,"""42","500""",72,1
3226,Kiamaiko,"""45","200""",75,0
3227,Viwandani,"""41","500""",44,1
3228,Karura,"""12","000""",72,0
3229,California,"""46","600""",118,1
3230,Pangani,"""43","400""",90,1
3231,Riruta,"""77","378""",94,1
3232,Mathare North,"""17","000""",59,0
3233,Embakasi North,"""44","400""",64,0
3234,Kwa Ruben,"""17","000""",108,1
3235,Uthiru/Ruthi,"""42","600""",59,1
3236,Nyayo Highrise,"""21","000""",79,0
3237,Lucky Summer,"""42","500""",83,1
3238,South C,"""25","000""",99,1
3239,Nyayo Highrise,"""43","200""",93,1
3240,Mathare South,"""45","000""",105,1
3241,Dandora Area III,"""43","400""",61,0
3242,Pipeline,"""45","600""",73,1
3243,Dandora Area IV,"""20","000""",52,1
3244,Riruta,"""44","918""",80,1
3245,Embakasi Central,"""46","200""",95,0
3246,Embakasi South,"""65","574""",51,0
3247,Karen,"""90","017""",33,0
3248,Sarangombe,"""45","200""",62,0
3249,Umoja II,"""43","600""",109,1
3250,Waithaka,"""44","400""",92,0
3251,Mowlem,"""42","000""",45,0
3252,Maringo/Hamza,"""109","890""",89,1
3253,Ngando,"""44","400""",31,0
3254,Laini saba,"""65","574""",69,0
3255,Makadara,"""16","000""",89,0
3256,Airbase,"""42","300""",99,1
3257,Kwa Ruben,"""9","000""",43,0
3258,Pipeline,"""15","000""",52,1
3259,Kayole South,"""42","500""",69,1
3260,Komarock,"""42","800""",80,0
3261,Huruma,"""13","000""",98,0
3262,Dandora Area IV,"""21","000""",41,1
3263,Dandora Area IV,"""23","000""",71,0
3264,Mathare South,"""44","600""",67,0
3265,Embakasi North,"""42","600""",65,1
3266,Kahawa West,"""41","500""",61,0
3267,Starehe,"""44","600""",118,1
3268,Clay City,"""17","000""",85,1
3269,Airbase,"""44","000""",63,1
3270,Makongeni,"""44","600""",111,0
3271,Kawangware,"""44","918""",47,0
3272,Ngara,"""11","000""",113,0
3273,Embakasi North,"""41","500""",63,1
3274,Huruma,"""20","000""",56,0
3275,Kahawa,"""12","000""",109,0
3276,Viwandani,"""46","400""",80,1
3277,Karen,"""41","700""",89,1
3278,Kibera,"""22","000""",80,1
3279,Embakasi,"""27","000""",113,1
3280,Clay City,"""45","400""",43,0
3281,Komarock,"""123","000""",81,0
3282,Kileleshwa,"""42","000""",102,1
3283,Riruta,"""18","000""",82,0
3284,Mowlem,"""82","972""",73,1
3285,Mutu-ini,"""42","400""",96,0
3286,Komarock,"""42","972""",80,0
3287,Kwa Ruben,"""44","000""",77,1
3288,Syokimau,"""19","000""",46,0
3289,Kayole South,"""11","000""",115,1
3290,Ngando,"""19","000""",108,1
3291,Nairobi Central,"""231","700""",92,1
3292,Nairobi South,"""13","000""",70,0
3293,Sarangombe,"""26","000""",110,0
3294,Utawala,"""18","000""",49,0
3295,Kayole South,"""55","500""",48,0
3296,Ngando,"""41","500""",100,1
3297,Riruta,"""17","000""",58,0
3298,Kayole South,"""22","000""",92,1
3299,Mugumu-Ini,"""13","000""",37,0
3300,Kilimani,"""44","800""",83,1
3301,Eastleigh South,"""24","000""",41,0
3302,Kariobangi North,"""48","997""",68,0
3303,Mathare North,"""39","377""",105,1
3304,Githurai,"""42","600""",65,0
3305,Mwiki,"""46","400""",86,0
3306,Karura,"""43","200""",94,1
3307,Embakasi East,"""43","000""",41,0
3308,Embakasi South,"""48","000""",80,0
3309,Karen,"""10","000""",93,1
3310,Nairobi South,"""44","400""",109,1
3311,Ngara,"""42","600""",38,0
3312,Woodley /Kenyatta Golf Course,"""46","400""",55,0
3313,Viwandani,"""42","800""",97,1
3314,Kayole South,"""41","600""",82,1
3315,Thika,"""45","400""",51,0
3316,Kangemi,"""42","600""",45,0
3317,Riruta,"""38","918""",75,1
3318,Kayole North,"""44","400""",99,0
3319,Syokimau,"""50","800""",78,1
3320,Mowlem,"""22","000""",106,1
3321,Zimmerman,"""18","000""",79,0
3322,Kabiro,"""29","000""",103,0
3323,Kwa Njenga,"""21","000""",84,0
3324,Komarock,"""13","000""",56,1
3325,Mutu-ini,"""43","400""",95,1
3326,Viwandani,"""44","918""",77,0
3327,Sarangombe,"""22","000""",116,1
3328,Embakasi,"""46","000""",86,0
3329,Dandora Area IV,"""40","500""",100,1
3330,Laini saba,"""23","000""",77,1
3331,Kwa Ruben,"""42","972""",56,1
3332,Mowlem,"""12","000""",35,0
3333,Makongeni,"""27","000""",105,1
3334,Komarock,"""12","000""",67,1
3335,Eastleigh South,"""22","000""",52,0
3336,Huruma,"""42","600""",56,0
3337,Nyayo Highrise,"""48","000""",46,0
3338,Dandora Area III,"""52","500""",85,1
3339,Kwa Ruben,"""43","200""",110,1
3340,Zimmerman,"""48","997""",40,0
3341,Kayole South,"""42","600""",78,1
3342,Roysambu,"""18","000""",98,1
3343,Eastleigh North,"""41","600""",54,0
3344,Eastleigh South,"""45","800""",60,1
3345,Matopeni/Spring Valley,"""90","017""",61,1
3346,Kileleshwa,"""45","200""",50,1
3347,Kilimani,"""22","000""",45,0
3348,Kayole Central,"""17","000""",76,0
3349,Kasarani,"""48","000""",62,1
3350,Utalii,"""38","918""",75,1
3351,California,"""17","000""",89,1
3352,Nairobi West,"""43","200""",97,0
3353,Maringo/Hamza,"""42","500""",86,0
3354,Parklands/Highridge,"""48","000""",76,1
3355,Waithaka,"""27","000""",69,0
3356,Mwiki,"""46","000""",50,1
3357,Kariobangi North,"""44","918""",101,1
3358,Mabatini,"""63","000""",59,0
3359,Njiru,"""55","500""",66,1
3360,Kwa Njenga,"""11","000""",87,1
3361,Mountain View,"""43","800""",105,1
3362,Kayole North,"""16","000""",100,1
3363,Pumwani,"""18","000""",96,0
3364,Zimmerman,"""22","000""",69,1
3365,Matopeni/Spring Valley,"""16","000""",57,0
3366,Ngando,"""46","174""",67,0
3367,Sarangombe,"""42","400""",45,0
3368,Lower Savannah,"""41","600""",55,0
3369,Kitengela,"""15","000""",43,1
3370,Mlango Kubwa,"""19","000""",48,0
3371,Kwa Njenga,"""52","600""",90,0
3372,Upper Savannah,"""48","997""",66,1
3373,Utawala,"""10","000""",87,1
3374,Ruiru,"""10","000""",54,0
3375,Mabatini,"""12","000""",101,0
3376,Viwandani,"""46","200""",64,0
3377,Landimawe,"""20","000""",51,0
3378,Mutu-ini,"""48","997""",56,0
3379,Airbase,"""46","174""",70,1
3380,Makongeni,"""41","800""",109,0
3381,Ruai,"""45","400""",112,1
3382,Baba Dogo,"""27","000""",71,1
3383,Lucky Summer,"""48","997""",70,1
3384,Kayole South,"""42","800""",117,1
3385,Kwa Njenga,"""43","800""",61,1
3386,Dandora Area II,"""13","000""",49,0
3387,Kwa Njenga,"""24","000""",74,1
3388,Harambee,"""44","800""",51,0
3389,Lucky Summer,"""40","500""",129,0
3390,Ngando,"""52","500""",58,1
3391,Makongeni,"""109","890""",72,1
3392,Riruta,"""42","800""",48,0
3393,Githurai,"""20","000""",60,0
3394,Kayole North,"""44","400""",83,0
3395,Dandora Area III,"""65","574""",108,1
3396,Karen,"""48","100""",69,0
3397,Parklands/Highridge,"""17","000""",59,0
3398,Eastleigh South,"""46","600""",66,1
3399,Woodley /Kenyatta Golf Course,"""26","000""",42,0
3400,Uthiru/Ruthi,"""52","600""",57,0
3401,Kware,"""109","890""",46,0
3402,Kileleshwa,"""39","377""",54,0
3403,Ngando,"""109","890""",112,1
3404,Mathare North,"""51","890""",47,0
3405,Waithaka,"""123","000""",59,0
3406,Dandora Area III,"""109","890""",86,0
3407,Matopeni/Spring Valley,"""51","890""",87,1
3408,Utalii,"""46","800""",52,0
3409,Kayole South,"""77","378""",54,0
3410,Viwandani,"""46","800""",38,0
3411,Kiamaiko,"""13","000""",93,1
3412,Dandora Area II,"""18","000""",106,0
3413,Nairobi Central,"""40","500""",68,0
3414,Embakasi South,"""10","000""",64,0
3415,Karura,"""52","500""",64,0
3416,Kangemi,"""20","000""",78,1
3417,Woodley /Kenyatta Golf Course,"""62","600""",56,0
3418,Kwa Ruben,"""12","000""",82,0
3419,Embakasi South,"""14","000""",75,1
3420,Mabatini,"""46","200""",48,0
3421,Dandora Area II,"""24","000""",105,1
3422,Starehe,"""12","000""",109,1
